
units= {

	##### NAVAL UNITS #####
	### Türk Donanmasi ###
	fleet = {
		name = "Türk Donanmasi"			
		naval_base = 4112 # Izmir
		
		task_force = {				
			name = "Türk Donanmasi"			
			location = 4112 # Izmir
			
			#Carriers
			ship = { name = "Carrier 1" definition = carrier start_experience_factor = 0.25 equipment = { ship_hull_carrier_conversion_bb = { amount = 1 owner = TUR version_name = "Converted Cruiser" } } }
			ship = { name = "Carrier 2" definition = carrier start_experience_factor = 0.25 equipment = { ship_hull_carrier_conversion_bb = { amount = 1 owner = TUR version_name = "Converted Cruiser" } } }
			ship = { name = "Carrier 3" definition = carrier start_experience_factor = 0.25 equipment = { ship_hull_carrier_conversion_bb = { amount = 1 owner = TUR version_name = "Converted Cruiser" } } }
			ship = { name = "Carrier 4" definition = carrier start_experience_factor = 0.25 equipment = { ship_hull_carrier_conversion_bb = { amount = 1 owner = TUR version_name = "Converted Cruiser" } } }
			ship = { name = "Carrier 5" definition = carrier start_experience_factor = 0.25 equipment = { ship_hull_carrier_conversion_bb = { amount = 1 owner = TUR version_name = "Converted Cruiser" } } }
			ship = { name = "Carrier 6" definition = carrier start_experience_factor = 0.25 equipment = { ship_hull_carrier_conversion_bb = { amount = 1 owner = TUR version_name = "Converted Cruiser" } } }

			#Yavuz Classs
			ship = { name = "Yavuz Class 1" definition = Battleship start_experience_factor = 0.25 equipment = { ship_hull_heavy_1 = { amount = 1 owner = TUR version_name = "Yavuz Class" } } }
			ship = { name = "Yavuz Class 1" definition = Battleship start_experience_factor = 0.25 equipment = { ship_hull_heavy_1 = { amount = 1 owner = TUR version_name = "Yavuz Class" } } }
			ship = { name = "Yavuz Class 1" definition = Battleship start_experience_factor = 0.25 equipment = { ship_hull_heavy_1 = { amount = 1 owner = TUR version_name = "Yavuz Class" } } }
			ship = { name = "Yavuz Class 1" definition = Battleship start_experience_factor = 0.25 equipment = { ship_hull_heavy_1 = { amount = 1 owner = TUR version_name = "Yavuz Class" } } }
			ship = { name = "Yavuz Class 1" definition = Battleship start_experience_factor = 0.25 equipment = { ship_hull_heavy_1 = { amount = 1 owner = TUR version_name = "Yavuz Class" } } }
			ship = { name = "Yavuz Class 1" definition = Battleship start_experience_factor = 0.25 equipment = { ship_hull_heavy_1 = { amount = 1 owner = TUR version_name = "Yavuz Class" } } }
			ship = { name = "Yavuz Class 1" definition = Battleship start_experience_factor = 0.25 equipment = { ship_hull_heavy_1 = { amount = 1 owner = TUR version_name = "Yavuz Class" } } }
			ship = { name = "Yavuz Class 1" definition = Battleship start_experience_factor = 0.25 equipment = { ship_hull_heavy_1 = { amount = 1 owner = TUR version_name = "Yavuz Class" } } }
			ship = { name = "Yavuz Class 1" definition = Battleship start_experience_factor = 0.25 equipment = { ship_hull_heavy_1 = { amount = 1 owner = TUR version_name = "Yavuz Class" } } }
			ship = { name = "Yavuz Class 1" definition = Battleship start_experience_factor = 0.25 equipment = { ship_hull_heavy_1 = { amount = 1 owner = TUR version_name = "Yavuz Class" } } }
			ship = { name = "Yavuz Class 1" definition = Battleship start_experience_factor = 0.25 equipment = { ship_hull_heavy_1 = { amount = 1 owner = TUR version_name = "Yavuz Class" } } }
			ship = { name = "Yavuz Class 1" definition = Battleship start_experience_factor = 0.25 equipment = { ship_hull_heavy_1 = { amount = 1 owner = TUR version_name = "Yavuz Class" } } }
			ship = { name = "Yavuz Class 1" definition = Battleship start_experience_factor = 0.25 equipment = { ship_hull_heavy_1 = { amount = 1 owner = TUR version_name = "Yavuz Class" } } }
			ship = { name = "Yavuz Class 1" definition = Battleship start_experience_factor = 0.25 equipment = { ship_hull_heavy_1 = { amount = 1 owner = TUR version_name = "Yavuz Class" } } }
			ship = { name = "Yavuz Class 1" definition = Battleship start_experience_factor = 0.25 equipment = { ship_hull_heavy_1 = { amount = 1 owner = TUR version_name = "Yavuz Class" } } }
			ship = { name = "Yavuz Class 1" definition = Battleship start_experience_factor = 0.25 equipment = { ship_hull_heavy_1 = { amount = 1 owner = TUR version_name = "Yavuz Class" } } }
			ship = { name = "Yavuz Class 1" definition = Battleship start_experience_factor = 0.25 equipment = { ship_hull_heavy_1 = { amount = 1 owner = TUR version_name = "Yavuz Class" } } }
			ship = { name = "Yavuz Class 1" definition = Battleship start_experience_factor = 0.25 equipment = { ship_hull_heavy_1 = { amount = 1 owner = TUR version_name = "Yavuz Class" } } }
			ship = { name = "Yavuz Class 1" definition = Battleship start_experience_factor = 0.25 equipment = { ship_hull_heavy_1 = { amount = 1 owner = TUR version_name = "Yavuz Class" } } }
			ship = { name = "Yavuz Class 1" definition = Battleship start_experience_factor = 0.25 equipment = { ship_hull_heavy_1 = { amount = 1 owner = TUR version_name = "Yavuz Class" } } }

			#Crusiers
